Unnamed: 0,ParticipantID,posture,score,surface,dexterity,form,orientation,rating
0,participant_1,Below_Left_Fist_0,3,Below,Left,Fist,0,Comfort
1,participant_2,Below_Left_Fist_0,4,Below,Left,Fist,0,Comfort
2,participant_3,Below_Left_Fist_0,4,Below,Left,Fist,0,Comfort
3,participant_4,Below_Left_Fist_0,4,Below,Left,Fist,0,Comfort
4,participant_5,Below_Left_Fist_0,2,Below,Left,Fist,0,Comfort
5,participant_6,Below_Left_Fist_0,5,Below,Left,Fist,0,Comfort
6,participant_7,Below_Left_Fist_0,5,Below,Left,Fist,0,Comfort
7,participant_8,Below_Left_Fist_0,3,Below,Left,Fist,0,Comfort
8,participant_9,Below_Left_Fist_0,4,Below,Left,Fist,0,Comfort
9,participant_10,Below_Left_Fist_0,4,Below,Left,Fist,0,Comfort
10,participant_11,Below_Left_Fist_0,3,Below,Left,Fist,0,Comfort
11,participant_12,Below_Left_Fist_0,2,Below,Left,Fist,0,Comfort
12,participant_13,Below_Left_Fist_0,5,Below,Left,Fist,0,Comfort
13,participant_14,Below_Left_Fist_0,5,Below,Left,Fist,0,Comfort
14,participant_15,Below_Left_Fist_0,3,Below,Left,Fist,0,Comfort
15,participant_16,Below_Left_Fist_0,5,Below,Left,Fist,0,Comfort
16,participant_17,Below_Left_Fist_0,5,Below,Left,Fist,0,Comfort
17,participant_18,Below_Left_Fist_0,5,Below,Left,Fist,0,Comfort
18,participant_19,Below_Left_Fist_0,3,Below,Left,Fist,0,Comfort
19,participant_20,Below_Left_Fist_0,4,Below,Left,Fist,0,Comfort
20,participant_21,Below_Left_Fist_0,5,Below,Left,Fist,0,Comfort
21,participant_22,Below_Left_Fist_0,4,Below,Left,Fist,0,Comfort
22,participant_23,Below_Left_Fist_0,3,Below,Left,Fist,0,Comfort
23,participant_24,Below_Left_Fist_0,3,Below,Left,Fist,0,Comfort
24,participate_25,Below_Left_Fist_0,3,Below,Left,Fist,0,Comfort
25,participant_26,Below_Left_Fist_0,4,Below,Left,Fist,0,Comfort
26,participant_27,Below_Left_Fist_0,4,Below,Left,Fist,0,Comfort
27,participant_28,Below_Left_Fist_0,1,Below,Left,Fist,0,Comfort
28,participant_29,Below_Left_Fist_0,2,Below,Left,Fist,0,Comfort
29,participant_30,Below_Left_Fist_0,4,Below,Left,Fist,0,Comfort
30,participant_1,Below_Left_Fist_0,2,Below,Left,Fist,0,Preference
31,participant_2,Below_Left_Fist_0,4,Below,Left,Fist,0,Preference
32,participant_3,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
33,participant_4,Below_Left_Fist_0,4,Below,Left,Fist,0,Preference
34,participant_5,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
35,participant_6,Below_Left_Fist_0,5,Below,Left,Fist,0,Preference
36,participant_7,Below_Left_Fist_0,4,Below,Left,Fist,0,Preference
37,participant_8,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
38,participant_9,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
39,participant_10,Below_Left_Fist_0,5,Below,Left,Fist,0,Preference
40,participant_11,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
41,participant_12,Below_Left_Fist_0,2,Below,Left,Fist,0,Preference
42,participant_13,Below_Left_Fist_0,5,Below,Left,Fist,0,Preference
43,participant_14,Below_Left_Fist_0,4,Below,Left,Fist,0,Preference
44,participant_15,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
45,participant_16,Below_Left_Fist_0,5,Below,Left,Fist,0,Preference
46,participant_17,Below_Left_Fist_0,4,Below,Left,Fist,0,Preference
47,participant_18,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
48,participant_19,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
49,participant_20,Below_Left_Fist_0,4,Below,Left,Fist,0,Preference
50,participant_21,Below_Left_Fist_0,4,Below,Left,Fist,0,Preference
51,participant_22,Below_Left_Fist_0,4,Below,Left,Fist,0,Preference
52,participant_23,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
53,participant_24,Below_Left_Fist_0,2,Below,Left,Fist,0,Preference
54,participate_25,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
55,participant_26,Below_Left_Fist_0,4,Below,Left,Fist,0,Preference
56,participant_27,Below_Left_Fist_0,4,Below,Left,Fist,0,Preference
57,participant_28,Below_Left_Fist_0,2,Below,Left,Fist,0,Preference
58,participant_29,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
59,participant_30,Below_Left_Fist_0,3,Below,Left,Fist,0,Preference
60,participant_1,Below_Right_Fist_0,4,Below,Right,Fist,0,Comfort
61,participant_2,Below_Right_Fist_0,4,Below,Right,Fist,0,Comfort
62,participant_3,Below_Right_Fist_0,3,Below,Right,Fist,0,Comfort
63,participant_4,Below_Right_Fist_0,4,Below,Right,Fist,0,Comfort
64,participant_5,Below_Right_Fist_0,1,Below,Right,Fist,0,Comfort
65,participant_6,Below_Right_Fist_0,5,Below,Right,Fist,0,Comfort
66,participant_7,Below_Right_Fist_0,5,Below,Right,Fist,0,Comfort
67,participant_8,Below_Right_Fist_0,4,Below,Right,Fist,0,Comfort
68,participant_9,Below_Right_Fist_0,5,Below,Right,Fist,0,Comfort
69,participant_10,Below_Right_Fist_0,5,Below,Right,Fist,0,Comfort
70,participant_11,Below_Right_Fist_0,4,Below,Right,Fist,0,Comfort
71,participant_12,Below_Right_Fist_0,3,Below,Right,Fist,0,Comfort
72,participant_13,Below_Right_Fist_0,5,Below,Right,Fist,0,Comfort
73,participant_14,Below_Right_Fist_0,5,Below,Right,Fist,0,Comfort
74,participant_15,Below_Right_Fist_0,2,Below,Right,Fist,0,Comfort
75,participant_16,Below_Right_Fist_0,5,Below,Right,Fist,0,Comfort
76,participant_17,Below_Right_Fist_0,4,Below,Right,Fist,0,Comfort
77,participant_18,Below_Right_Fist_0,5,Below,Right,Fist,0,Comfort
