,Unnamed: 0,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Reference_Task
1,1,participant_31,0,0,0,1,posture,Left_Close_0_On,1567118995331,1567118996645,1567118996645,1335,1758,3093,26,4,False,On,180,Close,Left,click
3,3,participant_31,0,0,1,3,posture,Left_Close_0_Below,1567118999434,1567119001175,1567119001175,2772,2024,4796,24,0,False,Below,180,Close,Left,word
5,5,participant_31,0,0,2,5,posture,Left_Close_0_Beside,1567119003230,1567119004877,1567119004877,1678,1523,3201,28,0,False,Beside,180,Close,Left,click
9,9,participant_31,0,0,4,9,posture,Left_Close_90_Below,1567119014167,1567119015578,1567119015578,3313,1688,5001,23,8,False,Below,90,Close,Left,word
11,11,participant_31,0,0,5,11,posture,Left_Close_90_Beside,1567119017302,1567119019044,1567119019044,1778,1421,3199,27,0,False,Beside,90,Close,Left,click
13,13,participant_31,0,0,6,13,posture,Left_Close_180_On,1567119021497,1567119022945,1567119022945,2480,2188,4668,19,14,False,On,0,Close,Left,word
15,15,participant_31,0,0,7,15,posture,Left_Close_180_Below,1567119025165,1567119026511,1567119026511,1378,1254,2632,25,9,False,Below,0,Close,Left,click
17,17,participant_31,0,0,8,17,posture,Left_Close_180_Beside,1567119027798,1567119029476,1567119029476,1711,1425,3136,18,22,False,Beside,0,Close,Left,click
19,19,participant_31,0,0,9,19,posture,Left_Open_0_On,1567119032631,1567119033779,1567119033779,2878,1522,4400,20,7,False,On,180,Open,Left,word
21,21,participant_31,0,0,10,21,posture,Left_Open_0_Below,1567119036532,1567119037814,1567119037814,2513,1486,3999,20,8,False,Below,180,Open,Left,word
23,23,participant_31,0,0,11,23,posture,Left_Open_0_Beside,1567119039333,1567119040676,1567119040676,1376,1224,2600,25,0,False,Beside,180,Open,Left,click
25,25,participant_31,0,0,12,25,posture,Left_Open_90_On,1567119042998,1567119044677,1567119044677,2777,1956,4733,18,4,False,On,90,Open,Left,word
27,27,participant_31,0,0,13,27,posture,Left_Open_90_Below,1567119046667,1567119047877,1567119047877,1244,1260,2504,23,0,False,Below,90,Open,Left,click
29,29,participant_31,0,0,14,29,posture,Left_Open_90_Beside,1567119050198,1567119051349,1567119051349,2212,1287,3499,23,4,False,Beside,90,Open,Left,word
31,31,participant_31,0,0,15,31,posture,Left_Open_180_On,1567119052665,1567119053946,1567119053946,1310,125,1435,2,0,False,On,0,Open,Left,click
33,33,participant_31,0,0,16,33,posture,Left_Open_180_Below,1567119059002,1567119060543,1567119060543,6472,1196,7668,23,13,False,Below,0,Open,Left,word
35,35,participant_31,0,0,17,35,posture,Left_Open_180_Beside,1567119063037,1567119065578,1567119065578,3839,2059,5898,21,22,False,Beside,0,Open,Left,word
37,37,participant_31,0,0,18,37,posture,Right_Close_0_On,1567119067666,1567119069147,1567119069147,1510,1457,2967,27,0,False,On,180,Close,Right,click
39,39,participant_31,0,0,19,39,posture,Right_Close_0_Below,1567119070632,1567119075811,1567119075811,5207,1356,6563,30,0,False,Below,180,Close,Right,click
41,41,participant_31,0,0,20,41,posture,Right_Close_0_Beside,1567119078200,1567119079744,1567119079744,2577,1360,3937,24,3,False,Beside,180,Close,Right,word
43,43,participant_31,0,0,21,43,posture,Right_Close_90_On,1567119081136,1567119082215,1567119082215,1111,1286,2397,30,0,False,On,90,Close,Right,click
45,45,participant_31,0,0,22,45,posture,Right_Close_90_Below,1567119084503,1567119085415,1567119085415,1914,2620,4534,24,0,False,Below,90,Close,Right,word
47,47,participant_31,0,0,23,47,posture,Right_Close_90_Beside,1567119088071,1567119089481,1567119089481,1446,1452,2898,27,4,False,Beside,90,Close,Right,click
49,49,participant_31,0,0,24,49,posture,Right_Close_180_On,1567119090970,1567119092416,1567119092416,1483,1519,3002,24,4,False,On,0,Close,Right,click
51,51,participant_31,0,0,25,51,posture,Right_Close_180_Below,1567119093967,1567119095114,1567119095114,1179,1756,2935,30,0,False,Below,0,Close,Right,click
