,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Reference_Task
0,participant_31,0,0,0,0,click,click me,1567118993864,1567118995310,1567118995310,0,1335,1335,0,0,False,NA,NA,NA,NA,NA
1,participant_31,0,0,0,1,posture,Left_Close_0_On,1567118995331,1567118996645,1567118996645,1335,1758,3093,26,4,False,On,180,Close,Left,click
2,participant_31,0,0,1,2,word,fully,1567118996665,1567118999400,1567118998403,1758,2772,4530,0,0,False,NA,NA,NA,NA,NA
3,participant_31,0,0,1,3,posture,Left_Close_0_Below,1567118999434,1567119001175,1567119001175,2772,2024,4796,24,0,False,Below,180,Close,Left,word
4,participant_31,0,0,2,4,click,click me,1567119001198,1567119003199,1567119003199,2024,1678,3702,0,0,False,NA,NA,NA,NA,NA
5,participant_31,0,0,2,5,posture,Left_Close_0_Beside,1567119003230,1567119004877,1567119004877,1678,1523,3201,28,0,False,Beside,180,Close,Left,click
6,participant_31,0,0,3,6,word,sixth,1567119004899,1567119008500,1567119006400,1523,3446,4969,0,0,False,NA,NA,NA,NA,NA
7,participant_31,0,0,3,7,posture,Left_Close_90_On,1567119008531,1567119009846,1567119009846,3446,2419,5865,17,8,False,On,90,Close,Left,word
8,participant_31,0,0,4,8,word,hen's,1567119009866,1567119014133,1567119012265,2419,3313,5732,0,0,False,NA,NA,NA,NA,NA
9,participant_31,0,0,4,9,posture,Left_Close_90_Below,1567119014167,1567119015578,1567119015578,3313,1688,5001,23,8,False,Below,90,Close,Left,word
10,participant_31,0,0,5,10,click,click me,1567119015601,1567119017266,1567119017266,1688,1778,3466,0,0,False,NA,NA,NA,NA,NA
11,participant_31,0,0,5,11,posture,Left_Close_90_Beside,1567119017302,1567119019044,1567119019044,1778,1421,3199,27,0,False,Beside,90,Close,Left,click
12,participant_31,0,0,6,12,word,Those,1567119019066,1567119021465,1567119020465,1421,2480,3901,0,0,False,NA,NA,NA,NA,NA
13,participant_31,0,0,6,13,posture,Left_Close_180_On,1567119021497,1567119022945,1567119022945,2480,2188,4668,19,14,False,On,0,Close,Left,word
14,participant_31,0,0,7,14,click,click me,1567119022964,1567119025133,1567119025133,2188,1378,3566,0,0,False,NA,NA,NA,NA,NA
15,participant_31,0,0,7,15,posture,Left_Close_180_Below,1567119025165,1567119026511,1567119026511,1378,1254,2632,25,9,False,Below,0,Close,Left,click
16,participant_31,0,0,8,16,click,click me,1567119026532,1567119027765,1567119027765,1254,1711,2965,0,0,False,NA,NA,NA,NA,NA
17,participant_31,0,0,8,17,posture,Left_Close_180_Beside,1567119027798,1567119029476,1567119029476,1711,1425,3136,18,22,False,Beside,0,Close,Left,click
18,participant_31,0,0,9,18,word,Drunk,1567119029497,1567119032602,1567119030901,1425,2878,4303,0,0,False,NA,NA,NA,NA,NA
19,participant_31,0,0,9,19,posture,Left_Open_0_On,1567119032631,1567119033779,1567119033779,2878,1522,4400,20,7,False,On,180,Open,Left,word
20,participant_31,0,0,10,20,word,Maria,1567119033798,1567119036502,1567119035301,1522,2513,4035,0,0,False,NA,NA,NA,NA,NA
21,participant_31,0,0,10,21,posture,Left_Open_0_Below,1567119036532,1567119037814,1567119037814,2513,1486,3999,20,8,False,Below,180,Open,Left,word
22,participant_31,0,0,11,22,click,click me,1567119037833,1567119039300,1567119039300,1486,1376,2862,0,0,False,NA,NA,NA,NA,NA
23,participant_31,0,0,11,23,posture,Left_Open_0_Beside,1567119039333,1567119040676,1567119040676,1376,1224,2600,25,0,False,Beside,180,Open,Left,click
24,participant_31,0,0,12,24,word,tepid,1567119040700,1567119042969,1567119041900,1224,2777,4001,0,0,False,NA,NA,NA,NA,NA
25,participant_31,0,0,12,25,posture,Left_Open_90_On,1567119042998,1567119044677,1567119044677,2777,1956,4733,18,4,False,On,90,Open,Left,word
26,participant_31,0,0,13,26,click,click me,1567119044701,1567119046633,1567119046633,1956,1244,3200,0,0,False,NA,NA,NA,NA,NA
27,participant_31,0,0,13,27,posture,Left_Open_90_Below,1567119046667,1567119047877,1567119047877,1244,1260,2504,23,0,False,Below,90,Open,Left,click
28,participant_31,0,0,14,28,word,spike,1567119047898,1567119050170,1567119049137,1260,2212,3472,0,0,False,NA,NA,NA,NA,NA
29,participant_31,0,0,14,29,posture,Left_Open_90_Beside,1567119050198,1567119051349,1567119051349,2212,1287,3499,23,4,False,Beside,90,Open,Left,word
30,participant_31,0,0,15,30,click,click me,1567119051365,1567119052636,1567119052636,1287,1310,2597,0,0,False,NA,NA,NA,NA,NA
31,participant_31,0,0,15,31,posture,Left_Open_180_On,1567119052665,1567119053946,1567119053946,1310,125,1435,2,0,False,On,0,Open,Left,click
32,participant_31,0,0,16,32,word,women,1567119053966,1567119058968,1567119054071,125,6472,6597,0,0,False,NA,NA,NA,NA,NA
33,participant_31,0,0,16,33,posture,Left_Open_180_Below,1567119059002,1567119060543,1567119060543,6472,1196,7668,23,13,False,Below,0,Open,Left,word
34,participant_31,0,0,17,34,word,cheek,1567119060570,1567119063004,1567119061739,1196,3839,5035,0,0,False,NA,NA,NA,NA,NA
35,participant_31,0,0,17,35,posture,Left_Open_180_Beside,1567119063037,1567119065578,1567119065578,3839,2059,5898,21,22,False,Beside,0,Open,Left,word
36,participant_31,0,0,18,36,click,click me,1567119065599,1567119067637,1567119067637,2059,1510,3569,0,0,False,NA,NA,NA,NA,NA
37,participant_31,0,0,18,37,posture,Right_Close_0_On,1567119067666,1567119069147,1567119069147,1510,1457,2967,27,0,False,On,180,Close,Right,click
38,participant_31,0,0,19,38,click,click me,1567119069167,1567119070604,1567119070604,1457,5207,6664,0,0,False,NA,NA,NA,NA,NA
39,participant_31,0,0,19,39,posture,Right_Close_0_Below,1567119070632,1567119075811,1567119075811,5207,1356,6563,30,0,False,Below,180,Close,Right,click
40,participant_31,0,0,20,40,word,grass,1567119075835,1567119078167,1567119077167,1356,2577,3933,0,0,False,NA,NA,NA,NA,NA
41,participant_31,0,0,20,41,posture,Right_Close_0_Beside,1567119078200,1567119079744,1567119079744,2577,1360,3937,24,3,False,Beside,180,Close,Right,word
