,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Completion_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Previous_Reference_Task,Next_Reference_Task
145,participant_31,1,2,0,145,posture,Left_Close_0_On,1567119371013,1567119372391,1567119372391,1410,1623,3033,1378,33,0,False,On,0,Close,Non Dominant,click,word
147,participant_31,1,2,1,147,posture,Left_Close_0_Below,1567119378414,1567119380456,1567119380456,6442,1525,7967,2042,19,8,False,Below,0,Close,Non Dominant,word,click
149,participant_31,1,2,2,149,posture,Left_Close_0_Beside,1567119382013,1567119383288,1567119383288,1307,1258,2565,1275,28,0,False,Beside,0,Close,Non Dominant,click,word
151,participant_31,1,2,3,151,posture,Left_Close_90_On,1567119385780,1567119386793,1567119386793,2247,1188,3435,1013,24,4,False,On,90,Close,Non Dominant,word,word
153,participant_31,1,2,4,153,posture,Left_Close_90_Below,1567119389113,1567119390125,1567119390125,2144,1721,3865,1012,20,1,False,Below,90,Close,Non Dominant,word,click
155,participant_31,1,2,5,155,posture,Left_Close_90_Beside,1567119391880,1567119393123,1567119393123,1277,1121,2398,1243,28,0,False,Beside,90,Close,Non Dominant,click,word
157,participant_31,1,2,6,157,posture,Left_Close_180_On,1567119395045,1567119396459,1567119396459,2215,1718,3933,1414,19,13,False,On,180,Close,Non Dominant,word,click
159,participant_31,1,2,7,159,posture,Left_Close_180_Below,1567119398214,1567119399392,1567119399392,1215,1323,2538,1178,25,8,False,Below,180,Close,Non Dominant,click,click
161,participant_31,1,2,8,161,posture,Left_Close_180_Beside,1567119400746,1567119402361,1567119402361,1646,1353,2999,1615,25,4,False,Beside,180,Close,Non Dominant,click,word
163,participant_31,1,2,9,163,posture,Left_Open_0_On,1567119404614,1567119405725,1567119405725,2011,1256,3267,1111,29,0,False,On,0,Open,Non Dominant,word,word
165,participant_31,1,2,10,165,posture,Left_Open_0_Below,1567119408178,1567119409396,1567119409396,2415,1684,4099,1218,28,3,False,Below,0,Open,Non Dominant,word,click
167,participant_31,1,2,11,167,posture,Left_Open_0_Beside,1567119411110,1567119412355,1567119412355,1275,1224,2499,1245,23,0,False,Beside,0,Open,Non Dominant,click,word
169,participant_31,1,2,12,169,posture,Left_Open_90_On,1567119414779,1567119416106,1567119416106,2527,1356,3883,1327,18,4,False,On,90,Open,Non Dominant,word,click
171,participant_31,1,2,13,171,posture,Left_Open_90_Below,1567119417493,1567119418470,1567119418470,1008,1391,2399,977,21,4,False,Below,90,Open,Non Dominant,click,word
173,participant_31,1,2,14,173,posture,Left_Open_90_Beside,1567119421392,1567119422608,1567119422608,2747,1188,3935,1216,22,8,False,Beside,90,Open,Non Dominant,word,click
175,participant_31,1,2,15,175,posture,Left_Open_180_On,1567119423829,1567119425104,1567119425104,1308,1290,2598,1275,24,0,False,On,180,Open,Non Dominant,click,word
177,participant_31,1,2,16,177,posture,Left_Open_180_Below,1567119427158,1567119428271,1567119428271,1877,1226,3103,1113,19,5,False,Below,180,Open,Non Dominant,word,word
181,participant_31,1,2,18,181,posture,Right_Close_0_On,1567119434563,1567119435840,1567119435840,1311,1455,2766,1277,30,4,False,On,0,Close,Dominant,click,click
185,participant_31,1,2,20,185,posture,Right_Close_0_Beside,1567119445829,1567119447104,1567119447104,4444,1191,5635,1275,24,3,False,Beside,0,Close,Dominant,word,click
187,participant_31,1,2,21,187,posture,Right_Close_90_On,1567119448329,1567119449406,1567119449406,1111,1158,2269,1077,26,4,False,On,90,Close,Dominant,click,word
189,participant_31,1,2,22,189,posture,Right_Close_90_Below,1567119451996,1567119453139,1567119453139,2575,1156,3731,1143,24,0,False,Below,90,Close,Dominant,word,click
191,participant_31,1,2,23,191,posture,Right_Close_90_Beside,1567119454329,1567119455340,1567119455340,1045,1454,2499,1011,23,4,False,Beside,90,Close,Dominant,click,click
193,participant_31,1,2,24,193,posture,Right_Close_180_On,1567119456826,1567119458173,1567119458173,1379,1489,2868,1347,25,8,False,On,180,Close,Dominant,click,click
197,participant_31,1,2,26,197,posture,Right_Close_180_Beside,1567119464663,1567119465841,1567119465841,3612,1152,4764,1178,22,8,False,Beside,180,Close,Dominant,word,click
199,participant_31,1,2,27,199,posture,Right_Open_0_On,1567119467030,1567119468239,1567119468239,1246,1157,2403,1209,16,0,False,On,0,Open,Dominant,click,word
201,participant_31,1,2,28,201,posture,Right_Open_0_Below,1567119470231,1567119471407,1567119471407,2011,1357,3368,1176,30,0,False,Below,0,Open,Dominant,word,word
203,participant_31,1,2,29,203,posture,Right_Open_0_Beside,1567119473627,1567119474772,1567119474772,2008,1392,3400,1145,14,12,False,Beside,0,Open,Dominant,word,click
