# Typealike Interactions
#<time>,E,experiment,{type:start, participantid:<participantId>, study:<studyId>, datetime:<time>}
#<time>,E,experiment,{type:end, participantid:<participantId>, score:<score>, datetime:<time>, duration:<duration>}
#<time>,E,block,{type:start, num:<blockNum>, numBlocks:<numBlocks>, datetime:<time>}
#<time>,E,block,{type:end, num:<blockNum>, datetime:<time>, duration:<numSeconds>}
#<time>,E,sequence,{type:start, blockNum:<blockNum>, num:<sequenceNum>, datetime:<time>, taskOrder:<taskOrderIndex>}
#<time>,E,sequence,{type:end, num:<sequenceNum>, datetime:<time>, duration:<numSeconds>}
#<time>,E,trial,{type:start, label:<labelName>, targetType:<targetType>, datetime:<time>, sequenceNum:<sequenceNum>, blockNum:<blockNum>, num:<targetNum>, startX:<startX>, startY:<startY>, width:<targetWidth>, height:<targetHeight>}
#<time>,E,trial,{type:end, label:<labelName>, action:<hit/miss>, targetType:<targetType>, num:<taskNum>, blockNum:<blockNum>, sequenceNum:<sequenceNum>, datetime:<time>, duration:<numSeconds>}
#<time>,M,video, datetime:<time>
# schema,{type:I, subtype:key, data:[event, keyname, modifierkey], type:[str,str], description:[<pressed/released>, <keycode>, <Shift/Ctrl/Alt/none>] }
# schema,{type:I, subtype:mouse, data:[event, x, y], type:[str, int,int], description:[moved/pressed/released,<x-coordinate>,<y-coordinate>]}
# schema,{type:I, subtype:posture, data:[name], type:[str], description:[<posture name>] }
# START LOG
1564252191073,E,experiment,{"type":"start","participantid":"participant_16","study":"one","datetime":"2019-07-27T18:29:51.053Z"}
1564252191129,E,block,{"type":"start","num":"0","numBlocks":"1","datetime":"2019-07-27T18:29:51.129Z"}
1564252240593,I,keyboard,keyreleased,10,none
1564252241727,I,mouse,moved,599,448
1564252241728,I,mouse,moved,599,448
1564252241728,I,mouse,moved,601,448
1564252241729,I,mouse,moved,601,448
1564252241729,I,mouse,moved,603,448
1564252241729,I,mouse,moved,603,448
1564252241729,I,mouse,moved,607,448
1564252241729,I,mouse,moved,607,448
1564252241730,I,mouse,moved,611,447
1564252241730,I,mouse,moved,611,447
1564252241759,I,mouse,moved,619,444
1564252241760,I,mouse,moved,619,444
1564252241760,I,mouse,moved,625,441
1564252241760,I,mouse,moved,625,441
1564252241761,I,mouse,moved,633,436
1564252241761,I,mouse,moved,633,436
1564252241761,I,mouse,moved,642,431
1564252241791,I,mouse,moved,642,431
1564252241791,I,mouse,moved,653,425
1564252241792,I,mouse,moved,653,425
1564252241792,I,mouse,moved,663,420
1564252241792,I,mouse,moved,663,420
1564252241792,I,mouse,moved,675,415
1564252241792,I,mouse,moved,675,415
1564252241793,I,mouse,moved,686,410
1564252241827,I,mouse,moved,686,410
1564252241827,I,mouse,moved,691,408
1564252241827,I,mouse,moved,691,408
1564252241827,I,mouse,moved,702,404
1564252241827,I,mouse,moved,702,404
1564252241828,I,mouse,moved,710,402
1564252241828,I,mouse,moved,710,402
1564252241828,I,mouse,moved,718,400
1564252241828,I,mouse,moved,718,400
1564252241857,I,mouse,moved,721,400
1564252241857,I,mouse,moved,721,400
1564252241857,I,mouse,moved,726,399
1564252241858,I,mouse,moved,726,399
1564252241858,I,mouse,moved,730,398
1564252241858,I,mouse,moved,730,398
1564252241858,I,mouse,moved,733,398
1564252241895,I,mouse,moved,733,398
1564252241895,I,mouse,moved,735,398
1564252241895,I,mouse,moved,735,398
1564252241896,I,mouse,moved,737,398
1564252241896,I,mouse,moved,737,398
1564252241896,I,mouse,moved,740,397
1564252241896,I,mouse,moved,740,397
1564252241896,I,mouse,moved,742,397
1564252241896,I,mouse,moved,742,397
1564252241923,I,mouse,moved,744,397
1564252241923,I,mouse,moved,744,397
1564252241923,I,mouse,moved,746,397
1564252241923,I,mouse,moved,746,397
1564252241923,I,mouse,moved,748,396
1564252241924,I,mouse,moved,748,396
1564252241924,I,mouse,moved,750,396
1564252241924,I,mouse,moved,750,396
1564252241962,I,mouse,moved,752,396
1564252241963,I,mouse,moved,752,396
1564252241963,I,mouse,moved,753,395
1564252241963,I,mouse,moved,753,395
1564252241963,I,mouse,moved,755,394
1564252241963,I,mouse,moved,755,394
1564252241964,I,mouse,moved,758,393
1564252241964,I,mouse,moved,758,393
1564252241964,I,mouse,moved,759,392
1564252241995,I,mouse,moved,759,392
1564252241996,I,mouse,moved,760,391
1564252241996,I,mouse,moved,760,391
1564252241996,I,mouse,moved,762,390
1564252241996,I,mouse,moved,762,390
1564252241996,I,mouse,moved,765,388
1564252241996,I,mouse,moved,765,388
1564252241997,I,mouse,moved,767,386
1564252242027,I,mouse,moved,767,386
1564252242028,I,mouse,moved,768,386
1564252242028,I,mouse,moved,768,386
1564252242028,I,mouse,moved,770,384
1564252242028,I,mouse,moved,770,384
1564252242028,I,mouse,moved,772,383
1564252242028,I,mouse,moved,772,383
1564252242058,I,mouse,moved,774,382
1564252242059,I,mouse,moved,774,382
1564252242059,I,mouse,moved,775,381
1564252242059,I,mouse,moved,775,381
1564252242059,I,mouse,moved,777,380
1564252242059,I,mouse,moved,777,380
1564252242059,I,mouse,moved,779,379
1564252242059,I,mouse,moved,779,379
1564252242094,I,mouse,moved,780,378
1564252242094,I,mouse,moved,780,378
1564252242094,I,mouse,moved,783,377
1564252242094,I,mouse,moved,783,377
1564252242094,I,mouse,moved,784,377
1564252242095,I,mouse,moved,784,377
1564252242095,I,mouse,moved,786,375
1564252242095,I,mouse,moved,786,375
1564252242095,I,mouse,moved,788,374
1564252242125,I,mouse,moved,788,374
1564252242125,I,mouse,moved,789,374
1564252242125,I,mouse,moved,789,374
1564252242125,I,mouse,moved,791,373
1564252242125,I,mouse,moved,791,373
1564252242125,I,mouse,moved,793,373
1564252242125,I,mouse,moved,793,373
1564252242158,I,mouse,moved,794,372
1564252242158,I,mouse,moved,794,372
1564252242158,I,mouse,moved,795,372
1564252242158,I,mouse,moved,795,372
1564252242158,I,mouse,moved,796,372
1564252242158,I,mouse,moved,796,372
1564252242158,I,mouse,moved,796,371
1564252242158,I,mouse,moved,796,371
1564252242159,I,mouse,moved,797,371
1564252242195,I,mouse,moved,797,371
1564252242195,I,mouse,moved,797,371
1564252242195,I,mouse,moved,797,371
1564252242195,I,mouse,moved,797,371
1564252242195,I,mouse,moved,797,371
1564252242229,I,mouse,moved,798,371
1564252242229,I,mouse,moved,798,371
1564252242694,I,mouse,mousepressed,798,371
1564252243158,E,sequence,{"type":"start","blockNum":"0","num":"0","taskOrder":"0","datetime":"2019-07-27T18:30:43.158Z"}
1564252243158,E,trial,{"type":"start","label":"Both_Close_0_On","targetType":"two_hand_posture","sequenceNum":"0","blockNum":"0","num":"0","startX":"590","startY":"0","width":"100","height":"100","datetime":"2019-07-27T18:30:43.158Z"}
1564252243158,I,mouse,moved,798,369
1564252243158,I,mouse,moved,798,369
1564252243158,I,mouse,moved,798,368
1564252243192,M,video,{"datetime":"2019-07-27T18:30:43.191Z"}
1564252243223,I,mouse,moved,798,368
1564252243223,I,mouse,moved,797,368
1564252243223,I,mouse,moved,797,368
1564252243228,M,video,{"datetime":"2019-07-27T18:30:43.228Z"}
1564252243262,M,video,{"datetime":"2019-07-27T18:30:43.262Z"}
1564252243294,M,video,{"datetime":"2019-07-27T18:30:43.294Z"}
1564252243332,M,video,{"datetime":"2019-07-27T18:30:43.332Z"}
1564252243363,M,video,{"datetime":"2019-07-27T18:30:43.363Z"}
1564252243396,M,video,{"datetime":"2019-07-27T18:30:43.396Z"}
1564252243427,M,video,{"datetime":"2019-07-27T18:30:43.427Z"}
1564252243463,M,video,{"datetime":"2019-07-27T18:30:43.463Z"}
1564252243498,M,video,{"datetime":"2019-07-27T18:30:43.498Z"}
1564252243531,M,video,{"datetime":"2019-07-27T18:30:43.531Z"}
1564252243563,M,video,{"datetime":"2019-07-27T18:30:43.563Z"}
1564252243596,M,video,{"datetime":"2019-07-27T18:30:43.596Z"}
1564252243628,M,video,{"datetime":"2019-07-27T18:30:43.628Z"}
1564252243662,M,video,{"datetime":"2019-07-27T18:30:43.662Z"}
1564252243696,M,video,{"datetime":"2019-07-27T18:30:43.696Z"}
1564252243730,M,video,{"datetime":"2019-07-27T18:30:43.730Z"}
1564252243763,M,video,{"datetime":"2019-07-27T18:30:43.763Z"}
1564252243795,M,video,{"datetime":"2019-07-27T18:30:43.795Z"}
1564252243828,M,video,{"datetime":"2019-07-27T18:30:43.828Z"}
1564252243865,M,video,{"datetime":"2019-07-27T18:30:43.865Z"}
1564252243897,M,video,{"datetime":"2019-07-27T18:30:43.897Z"}
1564252243933,M,video,{"datetime":"2019-07-27T18:30:43.933Z"}
1564252243964,M,video,{"datetime":"2019-07-27T18:30:43.964Z"}
1564252243997,M,video,{"datetime":"2019-07-27T18:30:43.997Z"}
1564252244029,M,video,{"datetime":"2019-07-27T18:30:44.029Z"}
1564252244062,M,video,{"datetime":"2019-07-27T18:30:44.062Z"}
1564252244097,M,video,{"datetime":"2019-07-27T18:30:44.097Z"}
1564252244129,M,video,{"datetime":"2019-07-27T18:30:44.129Z"}
1564252244162,M,video,{"datetime":"2019-07-27T18:30:44.162Z"}
1564252244197,M,video,{"datetime":"2019-07-27T18:30:44.197Z"}
1564252244230,M,video,{"datetime":"2019-07-27T18:30:44.230Z"}
1564252244262,M,video,{"datetime":"2019-07-27T18:30:44.262Z"}
1564252244297,M,video,{"datetime":"2019-07-27T18:30:44.297Z"}
1564252244330,M,video,{"datetime":"2019-07-27T18:30:44.330Z"}
1564252244363,M,video,{"datetime":"2019-07-27T18:30:44.363Z"}
1564252244397,M,video,{"datetime":"2019-07-27T18:30:44.397Z"}
1564252244430,M,video,{"datetime":"2019-07-27T18:30:44.430Z"}
1564252244463,M,video,{"datetime":"2019-07-27T18:30:44.462Z"}
1564252244496,M,video,{"datetime":"2019-07-27T18:30:44.496Z"}
1564252244528,M,video,{"datetime":"2019-07-27T18:30:44.528Z"}
1564252244563,M,video,{"datetime":"2019-07-27T18:30:44.563Z"}
1564252244597,M,video,{"datetime":"2019-07-27T18:30:44.597Z"}
1564252244629,M,video,{"datetime":"2019-07-27T18:30:44.629Z"}
1564252244661,M,video,{"datetime":"2019-07-27T18:30:44.661Z"}
1564252244697,M,video,{"datetime":"2019-07-27T18:30:44.697Z"}
1564252244731,M,video,{"datetime":"2019-07-27T18:30:44.730Z"}
1564252244764,M,video,{"datetime":"2019-07-27T18:30:44.764Z"}
1564252244796,M,video,{"datetime":"2019-07-27T18:30:44.796Z"}
1564252244829,M,video,{"datetime":"2019-07-27T18:30:44.829Z"}
1564252244863,M,video,{"datetime":"2019-07-27T18:30:44.863Z"}
1564252244896,M,video,{"datetime":"2019-07-27T18:30:44.896Z"}
1564252244929,M,video,{"datetime":"2019-07-27T18:30:44.929Z"}
1564252244962,M,video,{"datetime":"2019-07-27T18:30:44.962Z"}
1564252244996,M,video,{"datetime":"2019-07-27T18:30:44.996Z"}
1564252245029,M,video,{"datetime":"2019-07-27T18:30:45.029Z"}
1564252245062,M,video,{"datetime":"2019-07-27T18:30:45.062Z"}
1564252245096,M,video,{"datetime":"2019-07-27T18:30:45.096Z"}
1564252245129,M,video,{"datetime":"2019-07-27T18:30:45.128Z"}
1564252245166,M,video,{"datetime":"2019-07-27T18:30:45.166Z"}
1564252245196,M,video,{"datetime":"2019-07-27T18:30:45.196Z"}
1564252245228,M,video,{"datetime":"2019-07-27T18:30:45.228Z"}
1564252245262,M,video,{"datetime":"2019-07-27T18:30:45.262Z"}
1564252245295,M,video,{"datetime":"2019-07-27T18:30:45.295Z"}
1564252245328,M,video,{"datetime":"2019-07-27T18:30:45.328Z"}
1564252245365,M,video,{"datetime":"2019-07-27T18:30:45.365Z"}
1564252245397,M,video,{"datetime":"2019-07-27T18:30:45.397Z"}
1564252245428,M,video,{"datetime":"2019-07-27T18:30:45.428Z"}
1564252245462,M,video,{"datetime":"2019-07-27T18:30:45.462Z"}
1564252245499,M,video,{"datetime":"2019-07-27T18:30:45.499Z"}
1564252245528,M,video,{"datetime":"2019-07-27T18:30:45.528Z"}
1564252245565,M,video,{"datetime":"2019-07-27T18:30:45.565Z"}
1564252245597,M,video,{"datetime":"2019-07-27T18:30:45.597Z"}
1564252245630,M,video,{"datetime":"2019-07-27T18:30:45.630Z"}
