Participant,Condition,Block,Sequence,Trial,Mode_Switching_Time,Trial_Completion_Time,Errors
P00,word,0,0,0,0,3317,0
P00,equation,0,0,1,70,3724,0
P00,shortcut,0,0,2,129,6671,0
P00,equation,0,0,3,155,227,0
P00,posture,0,0,4,85,55,0
P00,click,0,1,0,69,4222,0
P00,word,0,1,1,114,3239,0
P00,posture,0,1,2,147,3333,0
P00,word,0,1,3,1245,2309,0
P00,shortcut,0,1,4,164,4757,0
P00,word,0,2,0,100,2323,0
P00,shortcut,0,2,1,118,1538,0
P00,equation,0,2,2,99,2159,0
P00,posture,0,2,3,143,1044,0
P00,click,0,2,4,1234,2282,0
P00,word,0,3,0,62,2571,0
P00,word,0,3,1,158,228,0
P00,posture,0,3,2,115,6444,0
P00,word,0,3,3,1377,2572,0
P00,shortcut,0,3,4,114,196,0
P00,equation,0,4,0,149,2929,0
P00,shortcut,0,4,1,119,1971,0
P00,click,0,4,2,70,2321,0
P00,word,0,4,3,284,239,0
P00,posture,0,4,4,99,2433,0
P00,equation,0,5,0,1498,2526,0
P00,shortcut,0,5,1,87,3339,0
P00,click,0,5,2,92,3059,0
P00,equation,0,5,3,80,3604,0
P00,posture,0,5,4,164,1139,0
P00,word,0,6,0,2330,3628,0
P00,posture,0,6,1,121,1224,0
P00,word,0,6,2,1334,4534,0
P00,equation,0,6,3,118,3754,0
P00,shortcut,0,6,4,131,3126,0
P00,word,0,7,0,103,2339,0
P00,word,0,7,1,131,2451,0
P00,shortcut,0,7,2,100,3335,0
P00,click,0,7,3,101,513,0
P00,posture,0,7,4,106,212,0
P00,equation,0,8,0,1120,2799,0
P00,posture,0,8,1,138,8396,1
P00,word,0,8,2,1637,544,0
P00,click,0,8,3,114,2948,0
P00,shortcut,0,8,4,149,2041,0
P00,equation,0,9,0,131,4384,0
P00,equation,0,9,1,183,2169,0
P00,shortcut,0,9,2,135,1354,0
P00,equation,0,9,3,168,2346,0
P00,posture,0,9,4,139,965,0
P00,click,0,10,0,1872,3253,0
P00,click,0,10,1,349,5233,0
P00,posture,0,10,2,199,845,1
P00,equation,0,10,3,1518,296,0
P00,shortcut,0,10,4,139,147,0
P00,word,0,11,0,101,327,0
P00,equation,0,11,1,133,2924,0
P00,shortcut,0,11,2,114,1763,0
P00,equation,0,11,3,112,3118,0
P00,posture,0,11,4,119,1173,0
P00,click,0,12,0,1451,2991,0
P00,equation,0,12,1,404,4684,0
P00,posture,0,12,2,112,906,0
P00,equation,0,12,3,1287,3276,0
P00,shortcut,0,12,4,118,1251,0
P00,click,0,13,0,116,2207,0
P00,shortcut,0,13,1,32,202,0
P00,click,0,13,2,98,3337,0
P00,equation,0,13,3,197,5001,0
P00,posture,0,13,4,133,1159,0
P00,click,1,0,0,493,2663,0
P00,word,1,0,1,309,1595,0
P00,shortcut,1,0,2,141,1907,0
P00,click,1,0,3,84,2176,0
P00,posture,1,0,4,32,22,0
P00,click,1,1,0,111,1438,0
P00,posture,1,1,1,219,1205,0
P00,click,1,1,2,1047,2541,0
P00,word,1,1,3,191,1741,0
P00,shortcut,1,1,4,133,2385,0
P00,word,1,2,0,136,2269,0
P00,posture,1,2,1,134,952,0
P00,word,1,2,2,2816,4162,0
P00,word,1,2,3,135,836,1
